"Category","Year","Unit","Fleet","Estimate..metric.tonnes.","SD..log.","SD..natural."
"Gadus chalcogrammus",1982,1,"All_areas",2413801.8424642,0.0875540940166016,211338.233452557
"Gadus chalcogrammus",1983,1,"All_areas",5579548.2860368,0.0893124150015341,498322.932043616
"Gadus chalcogrammus",1984,1,"All_areas",4048532.39392717,0.0888380583798085,359663.757164248
"Gadus chalcogrammus",1985,1,"All_areas",4338312.46901525,0.0973083854949519,422154.182132493
"Gadus chalcogrammus",1986,1,"All_areas",4340793.8949318,0.0922847194376834,400588.94673059
"Gadus chalcogrammus",1987,1,"All_areas",4875358.03994957,0.0945062191338044,460751.655279229
"Gadus chalcogrammus",1988,1,"All_areas",6427473.16035762,0.0965791443474832,620759.858143753
"Gadus chalcogrammus",1989,1,"All_areas",6005888.6284754,0.0899810298563604,540416.04399282
"Gadus chalcogrammus",1990,1,"All_areas",6483225.28305408,0.10714606982889,694652.108894537
"Gadus chalcogrammus",1991,1,"All_areas",4463735.63635203,0.0874035460011228,390146.323028746
"Gadus chalcogrammus",1992,1,"All_areas",4204099.16842215,0.0937181219331784,394000.278485361
"Gadus chalcogrammus",1993,1,"All_areas",5012126.70633537,0.0847243160500518,424649.007150463
"Gadus chalcogrammus",1994,1,"All_areas",4544433.08195738,0.0858745616126617,390251.198691167
"Gadus chalcogrammus",1995,1,"All_areas",4266091.39524849,0.100434137319291,428461.209007033
"Gadus chalcogrammus",1996,1,"All_areas",2809711.12859131,0.0771580984900717,216791.967988499
"Gadus chalcogrammus",1997,1,"All_areas",3172157.08528876,0.0854680571995817,271118.103211518
"Gadus chalcogrammus",1998,1,"All_areas",2359333.30879823,0.0792351873425325,186942.216726105
"Gadus chalcogrammus",1999,1,"All_areas",3379618.60563411,0.092398760643814,312272.570609367
"Gadus chalcogrammus",2000,1,"All_areas",4495732.11767401,0.0850737877179146,382468.95981561
"Gadus chalcogrammus",2001,1,"All_areas",4007745.10205643,0.0842414684534546,337618.332584373
"Gadus chalcogrammus",2002,1,"All_areas",4385859.81740427,0.0769650501343514,337557.920728757
"Gadus chalcogrammus",2003,1,"All_areas",6970969.29927164,0.0852230987891664,594087.605248074
"Gadus chalcogrammus",2004,1,"All_areas",3641111.88116367,0.0808208364251154,294277.707753073
"Gadus chalcogrammus",2005,1,"All_areas",4327212.61617192,0.0852769452306732,369011.473270771
"Gadus chalcogrammus",2006,1,"All_areas",2788948.0173218,0.0865290582541032,241325.045458504
"Gadus chalcogrammus",2007,1,"All_areas",3818904.35393997,0.105447099692048,402692.388124303
"Gadus chalcogrammus",2008,1,"All_areas",2615926.86124257,0.101127291903783,264541.599295825
"Gadus chalcogrammus",2009,1,"All_areas",1823978.23973797,0.110864469777339,202214.380433953
"Gadus chalcogrammus",2010,1,"All_areas",3376478.16666055,0.105952803133975,357747.326478351
"Gadus chalcogrammus",2011,1,"All_areas",2781499.02636608,0.0869213847131209,241771.746949937
"Gadus chalcogrammus",2012,1,"All_areas",3226985.98324277,0.0801075577851043,258505.966124342
"Gadus chalcogrammus",2013,1,"All_areas",4182311.43198545,0.0905983260967067,378910.414953002
"Gadus chalcogrammus",2014,1,"All_areas",7205255.11319186,0.0765158341181439,551316.105019896
"Gadus chalcogrammus",2015,1,"All_areas",6117138.38551319,0.0733881390672094,448925.402529407
"Gadus macrocephalus",1982,1,"All_areas",986906.413335289,0.0647505309120757,63902.7142239924
"Gadus macrocephalus",1983,1,"All_areas",1156443.96716774,0.0618996573234683,71583.4852814751
"Gadus macrocephalus",1984,1,"All_areas",980560.969291914,0.0629493530423617,61725.678635517
"Gadus macrocephalus",1985,1,"All_areas",1056183.60123414,0.0611183355689004,64552.1837625978
"Gadus macrocephalus",1986,1,"All_areas",1083791.99495139,0.059146200730274,64102.1788832588
"Gadus macrocephalus",1987,1,"All_areas",994015.41701938,0.0575695945604842,57225.0645446764
"Gadus macrocephalus",1988,1,"All_areas",881616.80519505,0.0591509386233592,52148.4615334144
"Gadus macrocephalus",1989,1,"All_areas",787499.971918916,0.0611780905152676,48177.7445628261
"Gadus macrocephalus",1990,1,"All_areas",672581.727810725,0.0662132329797,44533.8106414207
"Gadus macrocephalus",1991,1,"All_areas",492407.368266614,0.0594399521467551,29268.6704064772
"Gadus macrocephalus",1992,1,"All_areas",485394.217259989,0.0596053397767559,28932.0872454541
"Gadus macrocephalus",1993,1,"All_areas",608832.286806324,0.0564600608231088,34374.7079441575
"Gadus macrocephalus",1994,1,"All_areas",1166550.60745923,0.0576018305685242,67195.4504404753
"Gadus macrocephalus",1995,1,"All_areas",891771.784709426,0.0595767204237797,53128.8382994485
"Gadus macrocephalus",1996,1,"All_areas",843657.505708097,0.0563326313746613,47525.4472755204
"Gadus macrocephalus",1997,1,"All_areas",568434.260639366,0.0541371881709122,30773.4325310268
"Gadus macrocephalus",1998,1,"All_areas",513467.745106759,0.0555107640472896,28502.9868445151
"Gadus macrocephalus",1999,1,"All_areas",541679.541374893,0.0625053694774246,33857.8798719996
"Gadus macrocephalus",2000,1,"All_areas",493511.821767654,0.0557819210024616,27529.0374556242
"Gadus macrocephalus",2001,1,"All_areas",759013.306190338,0.0562948888849188,42728.56973416
"Gadus macrocephalus",2002,1,"All_areas",559969.216268259,0.0588270353363463,32941.328872679
"Gadus macrocephalus",2003,1,"All_areas",596596.535365474,0.0602976860241362,35973.3905725548
"Gadus macrocephalus",2004,1,"All_areas",548698.548680728,0.0549939204500577,30175.0843372101
