sdreport(.) result
                Estimate  Std. Error
beta1_ct      1.91648851 0.503621439
beta1_ct      2.22912049 0.505996581
beta1_ct      2.29850261 0.510887765
beta1_ct      3.25442691 0.604146198
beta1_ct      3.31871676 0.624825087
beta1_ct      1.86530223 0.490224822
beta1_ct      2.94891875 0.567402844
beta1_ct      1.99554034 0.482234046
beta1_ct      2.02689707 0.504679273
beta1_ct      4.01949105 0.712551969
beta1_ct      2.21467871 0.507367733
beta1_ct      3.20460551 0.578711819
beta1_ct      3.57208649 0.644676815
beta1_ct      2.84287682 0.542686552
beta1_ct      2.95849408 0.560683495
beta1_ct      2.37889077 0.522721533
beta1_ct      2.67741407 0.547622634
beta1_ct      4.06578736 0.738754363
beta1_ct      2.81339307 0.554473633
beta1_ct      3.59473824 0.637677179
beta1_ct      2.54267715 0.521006678
beta1_ct      2.29838972 0.510870073
beta1_ct      3.34918776 0.609742213
beta1_ct      2.63845270 0.530596669
beta1_ct      2.23761290 0.504492183
beta1_ct      2.01196393 0.486751179
beta1_ct      0.63064531 0.430221153
beta1_ct      1.30937861 0.446330736
beta1_ct      0.67559516 0.433062033
beta1_ct      2.62677903 0.528014073
beta1_ct      2.60285906 0.522385472
beta1_ct      3.10775406 0.574618740
beta1_ct      4.35965120 0.757641425
L_omega1_z   -0.10250331 0.014793601
L_epsilon1_z -0.04651199 0.009266774
logkappa1    -0.16573792 0.031266953
beta2_ct      6.90854017 0.271533284
beta2_ct      7.91378638 0.268109461
beta2_ct      7.10828945 0.263033020
beta2_ct      7.64449865 0.261711711
beta2_ct      7.56508646 0.266410764
beta2_ct      7.85071340 0.268047508
beta2_ct      7.58026455 0.263797112
beta2_ct      7.66856891 0.262894337
beta2_ct      7.47389085 0.265935898
beta2_ct      7.67615744 0.260298890
beta2_ct      7.55174067 0.265954709
beta2_ct      7.57406993 0.259569325
beta2_ct      7.43157605 0.261373167
beta2_ct      6.81029727 0.261660037
beta2_ct      7.01847356 0.261566989
beta2_ct      6.74931044 0.266194828
beta2_ct      7.33649054 0.260554910
beta2_ct      6.82630796 0.260320561
beta2_ct      7.43535697 0.261164449
beta2_ct      7.78685714 0.257958210
beta2_ct      7.16970210 0.263747330
beta2_ct      7.65491352 0.263347979
beta2_ct      7.19641049 0.262356221
beta2_ct      7.13926448 0.262975152
beta2_ct      6.35108724 0.264538308
beta2_ct      5.99091478 0.262869453
beta2_ct      5.53340654 0.269346100
beta2_ct      5.19042655 0.263143776
beta2_ct      5.93984538 0.271992710
beta2_ct      6.73420639 0.260174462
beta2_ct      6.46261334 0.260294187
beta2_ct      6.75903457 0.259549632
beta2_ct      7.84082009 0.258909302
L_omega2_z    0.11939502 0.006434131
L_epsilon2_z -0.12881182 0.006756999
logkappa2    -0.37189532 0.013699226
logSigmaM     0.21613931 0.014125467
Maximum gradient component: 0.01682526 
